timestamp,scope,marketId,activeDebtLoanCount,activeDebtInUsd,hf_le_100LoanCount,hf_le_100DebtInUsd,hf_100_110LoanCount,hf_100_110DebtInUsd,hf_110_125LoanCount,hf_110_125DebtInUsd,hf_125_150LoanCount,hf_125_150DebtInUsd,hf_150_200LoanCount,hf_150_200DebtInUsd,hf_gt_200LoanCount,hf_gt_200DebtInUsd,badDebtLoanCount,badDebtInUsd,badDebtShortfallInUsd
2026-07-17T18:06:26.398Z,market,DAI,1,11.338093,0,0,0,0,1,11.338093,0,0,0,0,0,0,0,0,0
2026-07-17T18:06:26.398Z,market,DJED,87,921750.5424843597,0,0,4,68676.56908654,28,137122.0595489,23,588605.3689299949,10,49686.599649375,22,77659.94526955001,0,0,0
2026-07-17T18:06:26.398Z,market,ERG,4,2235.035251455194,0,0,0,0,0,0,0,0,2,2214.9171474778263,2,20.11810397736768,0,0,0
2026-07-17T18:06:26.398Z,market,ETH,7,2864.8632034620005,0,0,1,18.302042619,0,0,4,2398.9037593049998,0,0,2,447.657401538,0,0,0
2026-07-17T18:06:26.398Z,market,IAG,6,4308.27756431195,0,0,0,0,0,0,1,119.0854600272,1,3233.02834744475,4,956.1637568399999,0,0,0
2026-07-17T18:06:26.398Z,market,IUSD,48,116449.60491356255,0,0,5,11389.16746331496,18,783.6107764474801,9,83423.89635358319,6,15222.106926834482,10,5630.82339338244,0,0,0
2026-07-17T18:06:26.398Z,market,MIN,38,17490.372922392176,0,0,0,0,0,0,3,428.380219209384,5,1529.5168016569585,30,15532.475901525835,0,0,0
2026-07-17T18:06:26.398Z,market,NIGHT,11,17902.21322860386,0,0,0,0,0,0,1,14.1783336,3,219.78228974131798,7,17668.252605262544,0,0,0
2026-07-17T18:06:26.398Z,market,SHEN,9,2302.9606763434317,0,0,0,0,0,0,1,721.517757463802,1,278.0862912,7,1303.35662767963,0,0,0
2026-07-17T18:06:26.398Z,market,SNEK,11,16335.7530567,0,0,0,0,0,0,0,0,0,0,11,16335.7530567,0,0,0
2026-07-17T18:06:26.398Z,market,USDA,57,626665.0104329998,0,0,0,0,21,149962.901262,22,428990.253164,3,32188.49715,11,15523.358857000001,0,0,0
2026-07-17T18:06:26.398Z,market,USDC,17,428815.86173371,0,0,2,4077.5585553200003,5,5143.6574903,6,405617.37245265,3,13975.797211770001,1,1.47602367,1,34.08967394,0.5819447451647974
2026-07-17T18:06:26.398Z,market,USDCx,91,725557.2098020002,0,0,2,46104.784367,12,142571.937932,18,157239.37641700002,26,199574.79451999997,33,180066.31656600002,0,0,0
